Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1,Basingstoke,18/03/2018,18/03/2018 18:06:47,18/03/2018 21:52:23,13536,18/03/2018 18:29:31,18/03/2018 19:59:01,18/03/2018 20:13:37,18/03/2018 20:20:47,430,18/03/2018 20:23:37,18/03/2018 20:24:06,29
England  UK,2,Southampton,18/03/2018,18/03/2018 18:45:25,18/03/2018 21:53:31,11286,18/03/2018 19:08:11,18/03/2018 20:37:06,18/03/2018 20:58:02,18/03/2018 21:09:53,711,18/03/2018 21:10:12,18/03/2018 21:20:33,621
England  UK,3,Isle of Wight,18/03/2018,18/03/2018 17:11:31,0,0,18/03/2018 17:51:25,0,18/03/2018 17:54:40,18/03/2018 17:58:59,259,0,0,0
England  UK,8,Peterborough,18/03/2018,18/03/2018 17:30:57,18/03/2018 20:56:02,12305,18/03/2018 17:54:26,18/03/2018 18:45:09,18/03/2018 18:57:35,18/03/2018 19:02:30,295,18/03/2018 19:04:18,18/03/2018 19:08:03,225
England  UK,10,Exeter,18/03/2018,18/03/2018 17:32:36,18/03/2018 20:33:30,10854,18/03/2018 18:17:31,18/03/2018 19:23:20,18/03/2018 19:35:15,18/03/2018 19:40:14,299,18/03/2018 19:42:59,18/03/2018 19:47:00,241
England  UK,11,St Austell,18/03/2018,18/03/2018 16:09:35,18/03/2018 17:14:38,3903,18/03/2018 16:30:52,18/03/2018 16:54:15,18/03/2018 17:00:40,18/03/2018 17:05:04,264,18/03/2018 17:05:16,18/03/2018 17:08:55,219
England  UK,12,Exmouth,18/03/2018,18/03/2018 13:11:41,18/03/2018 14:41:14,5373,18/03/2018 13:48:40,18/03/2018 14:10:02,18/03/2018 14:13:47,18/03/2018 14:18:21,274,18/03/2018 14:18:43,18/03/2018 14:22:13,210
Wales  UK,14,Swansea,18/03/2018,18/03/2018 16:22:03,18/03/2018 17:42:06,4803,18/03/2018 16:44:18,18/03/2018 17:18:34,18/03/2018 17:25:49,18/03/2018 17:30:13,264,18/03/2018 17:31:37,18/03/2018 17:35:00,203
England  UK,15,Bath,18/03/2018,18/03/2018 17:49:13,18/03/2018 20:37:41,10108,18/03/2018 18:34:19,18/03/2018 19:18:37,18/03/2018 19:25:52,18/03/2018 19:31:01,309,18/03/2018 19:32:37,18/03/2018 19:37:13,276
England  UK,16,Epsom,18/03/2018,18/03/2018 18:38:57,18/03/2018 20:02:40,5023,18/03/2018 19:10:50,18/03/2018 19:28:40,18/03/2018 19:32:55,18/03/2018 19:37:15,260,18/03/2018 19:37:48,18/03/2018 19:41:21,213
England  UK,21,Romford,18/03/2018,18/03/2018 18:03:06,18/03/2018 20:34:06,9060,18/03/2018 18:39:35,18/03/2018 19:31:03,18/03/2018 19:35:18,18/03/2018 19:37:01,103,18/03/2018 19:37:45,18/03/2018 19:39:35,110
England  UK,22,Salisbury,18/03/2018,18/03/2018 16:09:17,0,0,18/03/2018 16:31:18,0,18/03/2018 16:35:53,18/03/2018 16:40:04,251,0,0,0
