England  UK,1,Basingstoke,17/06/2018,17/06/2018 20:30:46,17/06/2018 21:50:57,4811,17/06/2018 20:52:42,17/06/2018 21:15:56,17/06/2018 21:20:52,17/06/2018 21:24:26,214,0,0,0,D2.4.50
England  UK,2,Southampton,17/06/2018,17/06/2018 17:33:20,17/06/2018 20:41:39,11299,17/06/2018 17:56:23,17/06/2018 19:27:41,17/06/2018 19:47:57,17/06/2018 19:58:58,661,17/06/2018 19:59:17,17/06/2018 20:08:59,582,D2.4.50
England  UK,3,Isle of Wight,17/06/2018,0,0,0,0,0,18/06/2018 09:00:32,18/06/2018 09:03:21,169,0,0,0,D2.4.50
Wales  UK,5,Port Talbot,17/06/2018,0,0,0,0,0,0,0,0,0,0,0,D2.4.50
England  UK,8,Peterborough,17/06/2018,17/06/2018 17:29:38,17/06/2018 20:57:31,12473,17/06/2018 17:53:00,17/06/2018 18:43:34,17/06/2018 18:56:19,17/06/2018 19:01:05,286,17/06/2018 19:03:08,17/06/2018 19:06:20,192,D2.4.50
England  UK,10,Exeter,17/06/2018,17/06/2018 17:43:33,0,0,17/06/2018 18:27:04,0,17/06/2018 18:39:00,17/06/2018 18:43:48,288,0,0,0,D2.4.50
England  UK,11,St Austell,17/06/2018,17/06/2018 16:11:52,0,0,17/06/2018 16:33:08,0,17/06/2018 16:38:23,17/06/2018 16:42:52,269,0,0,0,D2.4.50
England  UK,12,Exmouth,17/06/2018,17/06/2018 16:49:54,17/06/2018 18:25:00,5706,17/06/2018 17:26:25,17/06/2018 17:52:19,17/06/2018 17:56:14,17/06/2018 18:00:43,269,17/06/2018 18:01:00,17/06/2018 18:03:56,176,D2.4.50
Wales  UK,14,Swansea,17/06/2018,17/06/2018 16:18:17,17/06/2018 17:38:44,4827,17/06/2018 16:40:30,17/06/2018 17:15:01,17/06/2018 17:22:16,17/06/2018 17:26:51,275,17/06/2018 17:28:30,17/06/2018 17:31:21,171,D2.4.50
England  UK,15,Bath,17/06/2018,17/06/2018 18:06:51,17/06/2018 20:55:43,10132,17/06/2018 18:52:34,17/06/2018 19:36:50,17/06/2018 19:44:16,17/06/2018 19:49:30,314,17/06/2018 19:50:50,17/06/2018 19:54:37,227,D2.4.50
England  UK,16,Epsom,17/06/2018,17/06/2018 17:19:03,17/06/2018 18:49:11,5408,17/06/2018 17:50:13,17/06/2018 18:12:11,17/06/2018 18:16:36,17/06/2018 18:21:10,274,17/06/2018 18:21:54,17/06/2018 18:24:46,172,D2.4.50
England  UK,21,Romford,17/06/2018,17/06/2018 18:01:15,17/06/2018 20:33:31,9136,17/06/2018 18:38:43,17/06/2018 19:30:35,17/06/2018 19:35:01,17/06/2018 19:37:19,138,17/06/2018 19:37:56,17/06/2018 19:38:41,45,D2.4.50
England  UK,22,Salisbury,17/06/2018,17/06/2018 16:07:56,17/06/2018 17:33:07,5111,17/06/2018 16:30:01,17/06/2018 17:09:11,17/06/2018 17:14:26,17/06/2018 17:19:30,304,17/06/2018 17:19:42,17/06/2018 17:22:24,162,D2.4.50
England  UK,23,Derby,17/06/2018,17/06/2018 17:24:05,0,0,17/06/2018 17:48:22,0,17/06/2018 18:01:38,17/06/2018 18:06:11,273,0,0,0,D2.4.50
England  UK,24,Shrewsbury,17/06/2018,17/06/2018 16:25:14,17/06/2018 17:37:32,4338,17/06/2018 16:57:17,17/06/2018 17:19:26,17/06/2018 17:24:41,17/06/2018 17:29:01,260,17/06/2018 17:29:37,17/06/2018 17:32:18,161,D2.4.50
England  UK,25,Ilkeston,17/06/2018,17/06/2018 16:09:55,0,0,17/06/2018 16:31:59,0,17/06/2018 16:36:25,17/06/2018 16:40:58,273,0,0,0,D2.4.50
England  UK,26,Dunstable,17/06/2018,17/06/2018 16:18:15,17/06/2018 17:33:49,4534,17/06/2018 16:52:51,17/06/2018 17:16:18,17/06/2018 17:21:34,17/06/2018 17:25:53,259,17/06/2018 17:25:59,17/06/2018 17:28:37,158,D2.4.50
England  UK,28,Stourbridge,17/06/2018,17/06/2018 16:12:20,17/06/2018 17:18:59,3999,17/06/2018 16:46:23,17/06/2018 17:00:41,17/06/2018 17:05:57,17/06/2018 17:10:25,268,17/06/2018 17:10:50,17/06/2018 17:13:58,188,D2.4.50
England  UK,29,Brighton,17/06/2018,17/06/2018 19:12:18,17/06/2018 21:12:45,7227,17/06/2018 19:56:35,17/06/2018 20:24:23,17/06/2018 20:31:08,17/06/2018 20:35:58,290,0,0,0,D2.4.50
England  UK,31,Arnold,17/06/2018,17/06/2018 16:14:26,17/06/2018 18:31:26,8220,17/06/2018 16:54:25,17/06/2018 17:24:13,17/06/2018 17:29:48,17/06/2018 17:33:42,234,17/06/2018 17:33:55,17/06/2018 17:36:46,171,D2.4.50
England  UK,32,Boston,17/06/2018,17/06/2018 16:32:04,17/06/2018 19:15:37,9813,17/06/2018 18:02:57,17/06/2018 18:44:23,17/06/2018 18:51:49,17/06/2018 18:58:13,384,17/06/2018 18:58:58,17/06/2018 19:04:12,314,D2.4.50
England  UK,33,Cambridge,17/06/2018,17/06/2018 17:16:45,17/06/2018 18:34:08,4643,17/06/2018 17:47:25,17/06/2018 18:13:36,17/06/2018 18:17:41,17/06/2018 18:22:09,268,0,0,0,D2.4.50
England  UK,34,Chelmsford,17/06/2018,17/06/2018 17:31:48,17/06/2018 20:09:17,9449,17/06/2018 17:54:07,17/06/2018 18:32:41,17/06/2018 18:40:56,17/06/2018 18:44:40,224,17/06/2018 18:46:04,17/06/2018 18:49:03,179,D2.4.50
England  UK,35,Colchester,17/06/2018,17/06/2018 17:28:19,17/06/2018 20:21:00,10361,17/06/2018 18:13:47,17/06/2018 18:51:16,17/06/2018 18:58:32,17/06/2018 19:03:10,278,17/06/2018 19:04:15,17/06/2018 19:07:24,189,D2.4.50
England  UK,36,Ipswich,17/06/2018,17/06/2018 17:47:41,17/06/2018 22:49:32,18111,17/06/2018 18:11:39,17/06/2018 21:15:35,17/06/2018 21:34:31,17/06/2018 21:39:46,315,17/06/2018 21:40:19,17/06/2018 21:43:40,201,D2.4.50
England  UK,37,Kettering,17/06/2018,17/06/2018 16:21:11,17/06/2018 17:34:46,4415,17/06/2018 16:56:54,17/06/2018 17:16:45,17/06/2018 17:21:40,17/06/2018 17:26:04,264,17/06/2018 17:26:51,17/06/2018 17:29:28,157,D2.4.50
England  UK,39,Leicester,17/06/2018,17/06/2018 18:16:08,17/06/2018 21:16:40,10832,17/06/2018 18:39:26,17/06/2018 19:28:38,17/06/2018 19:38:54,17/06/2018 19:43:23,269,17/06/2018 19:45:48,17/06/2018 19:48:42,174,D2.4.50
England  UK,40,Nottingham,17/06/2018,17/06/2018 17:54:26,17/06/2018 21:29:43,12917,17/06/2018 18:42:30,17/06/2018 19:38:56,17/06/2018 19:51:02,17/06/2018 19:56:01,299,17/06/2018 19:58:58,17/06/2018 20:02:18,200,D2.4.50
England  UK,41,Southend,17/06/2018,17/06/2018 16:20:29,17/06/2018 18:29:32,7743,17/06/2018 16:41:27,17/06/2018 17:19:07,17/06/2018 17:25:53,17/06/2018 17:30:21,268,17/06/2018 17:31:31,17/06/2018 17:34:25,174,D2.4.50
England  UK,45,Bromsgrove,17/06/2018,17/06/2018 16:10:42,17/06/2018 17:15:02,3860,17/06/2018 16:41:04,17/06/2018 16:59:35,17/06/2018 17:02:41,17/06/2018 17:06:59,258,17/06/2018 17:07:15,17/06/2018 17:09:54,159,D2.4.50
England  UK,46,Cannock,17/06/2018,17/06/2018 16:11:20,17/06/2018 17:21:34,4214,17/06/2018 16:45:48,17/06/2018 17:01:59,17/06/2018 17:06:24,17/06/2018 17:11:03,279,17/06/2018 17:11:28,17/06/2018 17:14:24,176,D2.4.50
England  UK,47,Cheltenham,17/06/2018,17/06/2018 17:28:42,17/06/2018 19:10:45,6123,17/06/2018 17:50:51,17/06/2018 18:15:23,17/06/2018 18:20:28,17/06/2018 18:24:58,270,17/06/2018 18:25:39,17/06/2018 18:28:26,167,D2.4.50
England  UK,48,Congleton,17/06/2018,17/06/2018 16:07:18,0,0,17/06/2018 16:43:19,0,17/06/2018 16:46:35,17/06/2018 16:51:06,271,0,0,0,D2.4.50
England  UK,49,Croydon,17/06/2018,0,0,0,0,0,0,0,0,0,0,0,D2.4.50
England  UK,50,Eastbourne,17/06/2018,17/06/2018 16:31:51,0,0,17/06/2018 17:13:31,0,17/06/2018 17:20:36,17/06/2018 17:25:20,284,0,0,0,D2.4.50
England  UK,52,Bedford,17/06/2018,17/06/2018 17:49:24,18/06/2018 01:40:33,28269,17/06/2018 18:12:17,17/06/2018 22:28:34,17/06/2018 22:45:10,17/06/2018 22:48:34,204,17/06/2018 22:53:23,17/06/2018 22:54:46,83,D2.4.50
England  UK,53,Hereford,17/06/2018,17/06/2018 17:06:18,17/06/2018 19:45:30,9552,17/06/2018 17:28:49,17/06/2018 18:10:39,17/06/2018 18:20:15,17/06/2018 18:25:04,289,17/06/2018 18:26:49,17/06/2018 18:30:07,198,D2.4.50
England  UK,54,Hitchin,17/06/2018,17/06/2018 16:42:33,17/06/2018 17:37:05,3272,17/06/2018 17:03:30,17/06/2018 17:19:15,17/06/2018 17:23:50,17/06/2018 17:28:29,279,17/06/2018 17:28:53,17/06/2018 17:31:38,165,D2.4.50
Wales  UK,55,Newport,17/06/2018,17/06/2018 16:11:44,17/06/2018 18:11:42,7198,17/06/2018 16:55:32,17/06/2018 17:21:43,17/06/2018 17:27:48,17/06/2018 17:32:21,273,17/06/2018 17:32:36,17/06/2018 17:35:29,173,D2.4.50
England  UK,56,Nuneaton,17/06/2018,17/06/2018 17:17:18,17/06/2018 19:02:16,6298,17/06/2018 17:55:03,17/06/2018 18:17:32,17/06/2018 18:24:08,17/06/2018 18:28:38,270,17/06/2018 18:29:53,17/06/2018 18:32:50,177,D2.4.50
England  UK,57,Portsmouth,17/06/2018,17/06/2018 16:45:33,17/06/2018 18:30:48,6315,17/06/2018 17:09:30,17/06/2018 17:38:01,17/06/2018 17:43:47,17/06/2018 17:48:20,273,17/06/2018 17:48:58,17/06/2018 17:51:50,172,D2.4.50
England  UK,59,Barnstaple,17/06/2018,17/06/2018 17:07:13,17/06/2018 19:28:30,8477,17/06/2018 17:46:03,17/06/2018 18:13:44,17/06/2018 18:19:29,17/06/2018 18:23:47,258,0,0,0,D2.4.50
England  UK,60,Camborne,17/06/2018,17/06/2018 16:18:52,17/06/2018 17:50:22,5490,17/06/2018 16:43:42,17/06/2018 17:06:28,17/06/2018 17:11:23,17/06/2018 17:15:52,269,17/06/2018 17:16:17,17/06/2018 17:18:50,153,D2.4.50
England  UK,61,Rugby,17/06/2018,17/06/2018 16:12:43,0,0,17/06/2018 16:33:41,0,17/06/2018 16:37:47,17/06/2018 16:42:10,263,0,0,0,D2.4.50
England  UK,63,Swindon,17/06/2018,17/06/2018 17:13:43,17/06/2018 20:43:27,12584,17/06/2018 17:39:40,17/06/2018 18:32:00,17/06/2018 18:51:05,17/06/2018 18:56:41,336,0,0,0,D2.4.50
England  UK,64,Tamworth,17/06/2018,17/06/2018 16:13:03,0,0,17/06/2018 16:51:42,0,17/06/2018 16:55:37,17/06/2018 17:00:01,264,0,0,0,D2.4.50
England  UK,65,Tiverton,17/06/2018,17/06/2018 17:21:50,17/06/2018 19:43:45,8515,17/06/2018 17:42:46,17/06/2018 18:35:03,17/06/2018 18:42:59,17/06/2018 18:49:08,369,17/06/2018 18:49:47,17/06/2018 18:56:51,424,D2.4.50
England  UK,66,Warminster,17/06/2018,17/06/2018 17:47:28,17/06/2018 19:25:12,5864,17/06/2018 18:08:17,17/06/2018 18:52:17,17/06/2018 18:58:23,17/06/2018 19:04:18,355,17/06/2018 19:04:48,17/06/2018 19:09:07,259,D2.4.50
England  UK,67,Winchester,17/06/2018,17/06/2018 16:19:43,17/06/2018 17:41:38,4915,17/06/2018 16:43:48,17/06/2018 17:08:24,17/06/2018 17:11:50,17/06/2018 17:16:03,253,17/06/2018 17:16:16,17/06/2018 17:18:59,163,D2.4.50
England  UK,68,Torquay,17/06/2018,17/06/2018 17:28:06,17/06/2018 18:58:18,5412,17/06/2018 17:51:11,17/06/2018 18:14:34,17/06/2018 18:18:59,17/06/2018 18:22:58,239,17/06/2018 18:23:26,17/06/2018 18:25:45,139,D2.4.50
England  UK,69,Truro,17/06/2018,17/06/2018 16:23:53,17/06/2018 17:49:11,5118,17/06/2018 17:08:48,17/06/2018 17:29:25,17/06/2018 17:34:31,17/06/2018 17:38:54,263,17/06/2018 17:39:38,17/06/2018 17:42:20,162,D2.4.50
England  UK,71,Leamington Spa,17/06/2018,17/06/2018 16:09:07,17/06/2018 18:27:57,8330,17/06/2018 16:43:11,17/06/2018 17:12:57,17/06/2018 17:17:53,17/06/2018 17:22:36,283,17/06/2018 17:23:17,17/06/2018 17:26:21,184,D2.4.50
England  UK,72,Newbury,17/06/2018,17/06/2018 15:52:47,17/06/2018 17:17:49,5102,17/06/2018 16:28:51,17/06/2018 16:53:47,17/06/2018 16:59:12,17/06/2018 17:03:45,273,17/06/2018 17:03:57,17/06/2018 17:06:40,163,D2.4.50
England  UK,73,Poole,17/06/2018,17/06/2018 16:55:02,17/06/2018 19:18:55,8633,17/06/2018 17:18:17,17/06/2018 17:53:34,17/06/2018 18:01:29,17/06/2018 18:05:11,222,17/06/2018 18:06:57,17/06/2018 18:09:55,178,D2.4.50
England  UK,74,Reading,17/06/2018,17/06/2018 17:39:19,17/06/2018 19:59:51,8432,17/06/2018 18:02:42,17/06/2018 18:44:12,17/06/2018 18:54:38,17/06/2018 18:58:57,259,17/06/2018 19:00:52,17/06/2018 19:03:56,184,D2.4.50
England  UK,75,Sutton Coldfield,17/06/2018,17/06/2018 16:47:06,17/06/2018 18:50:22,7396,17/06/2018 17:31:06,17/06/2018 17:58:46,17/06/2018 18:04:42,17/06/2018 18:09:05,263,17/06/2018 18:10:31,17/06/2018 18:13:28,177,D2.4.50
England  UK,76,Taunton,17/06/2018,17/06/2018 17:14:13,17/06/2018 19:08:49,6876,17/06/2018 17:40:26,17/06/2018 18:08:11,17/06/2018 18:16:37,17/06/2018 18:20:15,218,17/06/2018 18:21:33,17/06/2018 18:24:27,174,D2.4.50
England  UK,77,West Bromwich,17/06/2018,17/06/2018 17:43:15,17/06/2018 19:53:31,7816,17/06/2018 18:23:56,17/06/2018 18:52:11,17/06/2018 18:58:47,17/06/2018 19:02:36,229,17/06/2018 19:03:35,17/06/2018 19:06:36,181,D2.4.50
England  UK,79,Boscombe,17/06/2018,17/06/2018 17:23:28,17/06/2018 18:37:14,4426,17/06/2018 17:45:35,17/06/2018 18:08:50,17/06/2018 18:13:26,17/06/2018 18:17:44,258,17/06/2018 18:18:15,17/06/2018 18:20:51,156,D2.4.50
England  UK,80,Bridgwater,17/06/2018,17/06/2018 17:16:30,17/06/2018 19:13:03,6993,17/06/2018 17:54:24,17/06/2018 18:19:56,17/06/2018 18:26:31,17/06/2018 18:31:00,269,17/06/2018 18:31:50,17/06/2018 18:34:50,180,D2.4.50
Wales  UK,82,Carmarthen,17/06/2018,17/06/2018 16:07:41,17/06/2018 17:29:18,4897,17/06/2018 16:51:58,17/06/2018 17:05:25,17/06/2018 17:09:10,17/06/2018 17:13:24,254,17/06/2018 17:13:45,17/06/2018 17:16:23,158,D2.4.50
