Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,05/12/2018,05/12/2018 20:14:45,05/12/2018 22:06:08,6683,05/12/2018 21:02:02,05/12/2018 21:27:55,,05/12/2018 21:33:30,05/12/2018 21:38:34,304,05/12/2018 21:39:39,05/12/2018 21:39:55,16,,
England  UK,0002,Southampton,05/12/2018,05/12/2018 19:50:40,05/12/2018 22:48:33,10673,05/12/2018 20:13:35,05/12/2018 21:47:44,,05/12/2018 22:07:00,05/12/2018 22:17:06,606,-,-,,,
England  UK,0003,Isle of Wight,05/12/2018,05/12/2018 18:17:02,05/12/2018 20:12:27,6925,05/12/2018 18:56:07,05/12/2018 19:17:11,,05/12/2018 19:21:07,05/12/2018 19:25:36,269,-,-,,,
Wales  UK,0005,Port Talbot,05/12/2018,05/12/2018 17:37:34,05/12/2018 18:31:16,3222,05/12/2018 18:11:57,05/12/2018 18:19:28,,05/12/2018 18:22:33,05/12/2018 18:26:37,244,-,-,,,
England  UK,0008,Peterborough,05/12/2018,05/12/2018 18:45:48,05/12/2018 22:12:09,12381,05/12/2018 19:09:21,05/12/2018 20:02:55,,05/12/2018 20:14:50,05/12/2018 20:19:45,295,-,-,,,
England  UK,0010,Exeter,05/12/2018,05/12/2018 18:50:18,05/12/2018 21:51:04,10846,05/12/2018 19:36:10,05/12/2018 20:43:22,,05/12/2018 20:55:48,05/12/2018 21:00:22,274,-,-,,,
England  UK,0011,St Austell,05/12/2018,05/12/2018 17:43:12,05/12/2018 18:45:34,3742,05/12/2018 18:04:50,05/12/2018 18:28:43,,05/12/2018 18:35:09,05/12/2018 18:40:05,296,-,-,,,
England  UK,0012,Exmouth,05/12/2018,05/12/2018 18:14:51,-,-,-,-,,06/12/2018 08:00:35,06/12/2018 08:03:04,149,-,-,,,
Wales  UK,0014,Swansea,05/12/2018,05/12/2018 18:20:37,05/12/2018 19:37:19,4602,05/12/2018 18:42:51,05/12/2018 19:17:54,,05/12/2018 19:25:09,05/12/2018 19:30:04,295,-,-,,,
England  UK,0015,Bath,05/12/2018,05/12/2018 19:17:18,05/12/2018 21:48:41,9083,05/12/2018 20:02:34,05/12/2018 20:43:00,,05/12/2018 20:50:15,05/12/2018 20:54:54,279,-,-,,,
England  UK,0016,Epsom,05/12/2018,05/12/2018 17:57:09,05/12/2018 19:18:49,4900,05/12/2018 18:28:50,05/12/2018 18:48:14,,05/12/2018 18:52:20,05/12/2018 18:56:39,259,-,-,,,
England  UK,0021,Romford,05/12/2018,05/12/2018 19:24:14,05/12/2018 22:18:59,10485,05/12/2018 20:03:24,05/12/2018 20:59:48,,05/12/2018 21:04:13,05/12/2018 21:07:02,169,-,-,,,
England  UK,0022,Salisbury,05/12/2018,05/12/2018 17:40:10,05/12/2018 19:05:48,5138,05/12/2018 18:03:17,05/12/2018 18:44:13,,05/12/2018 18:49:19,05/12/2018 18:53:34,255,-,-,,,
England  UK,0023,Derby,05/12/2018,05/12/2018 19:11:07,05/12/2018 21:15:32,7465,05/12/2018 19:35:22,05/12/2018 20:18:09,,05/12/2018 20:31:15,05/12/2018 20:35:44,269,-,-,,,
England  UK,0024,Shrewsbury,05/12/2018,05/12/2018 18:16:10,-,-,05/12/2018 18:48:32,-,,05/12/2018 18:53:58,05/12/2018 18:59:47,349,-,-,,,
England  UK,0025,Ilkeston,05/12/2018,05/12/2018 18:11:33,05/12/2018 20:11:16,7183,05/12/2018 18:33:39,05/12/2018 19:07:52,,05/12/2018 19:13:27,05/12/2018 19:18:22,295,-,-,,,
England  UK,0026,Dunstable,05/12/2018,05/12/2018 18:02:01,05/12/2018 19:18:48,4607,05/12/2018 18:35:57,05/12/2018 19:01:29,,05/12/2018 19:06:34,05/12/2018 19:11:10,276,-,-,,,
England  UK,0028,Stourbridge,05/12/2018,05/12/2018 18:27:03,05/12/2018 19:31:30,3867,05/12/2018 19:01:27,05/12/2018 19:16:47,,05/12/2018 19:21:42,05/12/2018 19:26:10,268,-,-,,,
England  UK,0029,Brighton,05/12/2018,05/12/2018 19:37:13,05/12/2018 21:40:57,7424,05/12/2018 20:22:02,05/12/2018 20:50:43,,05/12/2018 20:57:38,05/12/2018 21:02:43,305,-,-,,,
England  UK,0031,Arnold,05/12/2018,05/12/2018 17:40:39,05/12/2018 19:53:43,7984,05/12/2018 18:21:51,05/12/2018 18:53:57,,05/12/2018 18:59:43,05/12/2018 19:04:37,294,-,-,,,
England  UK,0032,Boston,05/12/2018,05/12/2018 18:04:33,05/12/2018 20:43:56,9563,05/12/2018 19:35:28,05/12/2018 20:19:26,,05/12/2018 20:25:32,05/12/2018 20:29:56,264,-,-,,,
England  UK,0033,Cambridge,05/12/2018,05/12/2018 20:15:21,05/12/2018 21:35:58,4837,05/12/2018 20:46:48,05/12/2018 21:14:56,,05/12/2018 21:19:12,05/12/2018 21:24:01,289,-,-,,,
England  UK,0034,Chelmsford,05/12/2018,05/12/2018 18:45:58,05/12/2018 21:24:48,9530,05/12/2018 19:08:23,05/12/2018 19:49:27,,05/12/2018 19:57:32,05/12/2018 20:02:15,283,-,-,,,
England  UK,0035,Colchester,05/12/2018,05/12/2018 18:12:56,05/12/2018 21:15:10,10934,05/12/2018 18:58:03,05/12/2018 19:39:06,,05/12/2018 19:46:32,05/12/2018 19:51:11,279,-,-,,,
England  UK,0036,Ipswich,05/12/2018,05/12/2018 17:59:56,05/12/2018 19:40:00,6004,05/12/2018 18:23:03,05/12/2018 19:08:59,,05/12/2018 19:16:04,05/12/2018 19:19:03,179,-,-,,,
England  UK,0037,Kettering,05/12/2018,05/12/2018 17:50:47,05/12/2018 19:02:50,4323,05/12/2018 18:26:35,05/12/2018 18:48:22,,05/12/2018 18:53:17,05/12/2018 18:56:57,220,-,-,,,
England  UK,0039,Leicester,05/12/2018,05/12/2018 20:22:32,05/12/2018 23:30:34,11282,05/12/2018 20:45:40,05/12/2018 21:38:10,,05/12/2018 21:48:35,05/12/2018 21:53:39,304,-,-,,,
England  UK,0040,Nottingham,05/12/2018,05/12/2018 20:02:44,05/12/2018 23:45:27,13363,05/12/2018 20:49:58,05/12/2018 21:45:23,,05/12/2018 21:56:08,05/12/2018 22:00:47,279,05/12/2018 22:04:09,05/12/2018 22:18:42,873,,
England  UK,0041,Southend,05/12/2018,05/12/2018 17:47:09,05/12/2018 19:49:42,7353,05/12/2018 18:09:11,05/12/2018 18:45:27,,05/12/2018 18:51:42,05/12/2018 18:56:37,295,-,-,,,
England  UK,0045,Bromsgrove,05/12/2018,05/12/2018 18:09:17,05/12/2018 19:07:53,3516,05/12/2018 18:39:19,05/12/2018 18:55:33,,05/12/2018 18:58:18,05/12/2018 19:02:41,263,-,-,,,
England  UK,0046,Cannock,05/12/2018,05/12/2018 18:08:40,05/12/2018 19:16:39,4079,05/12/2018 18:43:06,05/12/2018 19:01:12,,05/12/2018 19:05:37,05/12/2018 19:10:06,269,-,-,,,
England  UK,0047,Cheltenham,05/12/2018,05/12/2018 18:22:06,05/12/2018 20:03:31,6085,05/12/2018 18:44:14,05/12/2018 19:09:58,,05/12/2018 19:14:53,05/12/2018 19:19:37,284,-,-,,,
England  UK,0048,Congleton,05/12/2018,05/12/2018 17:09:01,05/12/2018 18:18:13,4152,05/12/2018 17:45:54,05/12/2018 18:03:32,,05/12/2018 18:07:07,05/12/2018 18:12:01,294,-,-,,,
England  UK,0049,Croydon,05/12/2018,05/12/2018 18:06:16,05/12/2018 19:23:46,4650,05/12/2018 18:27:13,05/12/2018 18:45:19,,05/12/2018 18:52:05,05/12/2018 19:01:19,554,-,-,,,
England  UK,0050,Eastbourne,05/12/2018,05/12/2018 20:47:33,05/12/2018 23:20:49,9196,05/12/2018 21:29:12,05/12/2018 22:07:38,,05/12/2018 22:14:23,05/12/2018 22:18:12,229,-,-,,,
England  UK,0052,Bedford,05/12/2018,05/12/2018 19:33:59,-,-,05/12/2018 19:57:46,-,,05/12/2018 20:13:32,05/12/2018 20:16:31,179,-,-,,,
England  UK,0053,Hereford,05/12/2018,-,-,-,-,-,,06/12/2018 08:01:04,06/12/2018 08:04:23,199,-,-,,,
England  UK,0054,Hitchin,05/12/2018,05/12/2018 17:39:48,05/12/2018 18:32:07,3139,05/12/2018 18:00:45,05/12/2018 18:17:24,,05/12/2018 18:21:30,05/12/2018 18:26:14,284,-,-,,,
Wales  UK,0055,Newport,05/12/2018,05/12/2018 18:14:37,05/12/2018 20:12:09,7052,05/12/2018 18:57:28,05/12/2018 19:24:56,,05/12/2018 19:30:42,05/12/2018 19:35:31,289,-,-,,,
England  UK,0056,Nuneaton,05/12/2018,05/12/2018 18:12:10,05/12/2018 19:52:45,6035,05/12/2018 18:49:50,05/12/2018 19:12:47,,05/12/2018 19:19:02,05/12/2018 19:23:28,266,05/12/2018 19:24:57,05/12/2018 19:28:14,197,,
England  UK,0057,Portsmouth,05/12/2018,05/12/2018 18:10:28,05/12/2018 19:54:15,6227,05/12/2018 18:35:25,05/12/2018 19:04:44,,05/12/2018 19:10:19,05/12/2018 19:14:53,274,-,-,,,
England  UK,0059,Barnstaple,05/12/2018,05/12/2018 18:18:55,05/12/2018 20:40:46,8511,05/12/2018 18:57:03,05/12/2018 19:26:19,,05/12/2018 19:32:04,05/12/2018 19:35:42,218,-,-,,,
England  UK,0060,Camborne,05/12/2018,05/12/2018 17:42:55,05/12/2018 19:00:46,4671,05/12/2018 18:07:44,05/12/2018 18:26:10,,05/12/2018 18:30:25,05/12/2018 18:34:54,269,-,-,,,
England  UK,0061,Rugby,05/12/2018,05/12/2018 18:08:35,05/12/2018 19:23:16,4481,05/12/2018 18:29:34,05/12/2018 18:49:53,,05/12/2018 18:54:28,05/12/2018 18:59:17,289,-,-,,,
England  UK,0063,Swindon,05/12/2018,05/12/2018 20:19:21,05/12/2018 23:42:27,12186,05/12/2018 20:43:21,05/12/2018 21:33:28,,05/12/2018 21:52:34,05/12/2018 21:58:15,341,-,-,,,
England  UK,0064,Tamworth,05/12/2018,05/12/2018 17:49:36,05/12/2018 19:19:08,5372,05/12/2018 18:28:26,05/12/2018 18:44:52,,05/12/2018 18:48:47,05/12/2018 18:52:50,243,-,-,,,
England  UK,0065,Tiverton,05/12/2018,05/12/2018 18:12:41,05/12/2018 19:05:23,3162,05/12/2018 18:33:45,05/12/2018 18:46:31,,05/12/2018 18:48:47,05/12/2018 18:51:40,173,-,-,,,
England  UK,0066,Warminster,05/12/2018,05/12/2018 17:39:22,05/12/2018 18:25:54,2792,05/12/2018 18:06:37,05/12/2018 18:14:38,,05/12/2018 18:16:54,05/12/2018 18:20:17,203,-,-,,,
England  UK,0067,Winchester,05/12/2018,05/12/2018 18:10:52,05/12/2018 19:49:02,5890,05/12/2018 18:42:24,05/12/2018 19:14:12,,05/12/2018 19:17:28,05/12/2018 19:21:41,253,-,-,,,
England  UK,0068,Torquay,05/12/2018,05/12/2018 18:27:47,05/12/2018 19:56:02,5295,05/12/2018 18:50:53,05/12/2018 19:15:47,,05/12/2018 19:20:02,05/12/2018 19:24:01,239,-,-,,,
England  UK,0069,Truro,05/12/2018,05/12/2018 18:18:07,05/12/2018 19:39:03,4856,05/12/2018 19:02:14,05/12/2018 19:24:09,,05/12/2018 19:29:04,05/12/2018 19:32:48,224,-,-,,,
England  UK,0071,Leamington Spa,05/12/2018,05/12/2018 18:11:57,05/12/2018 20:27:36,8139,05/12/2018 18:44:53,05/12/2018 19:16:03,,05/12/2018 19:20:49,05/12/2018 19:25:12,263,-,-,,,
England  UK,0072,Newbury,05/12/2018,05/12/2018 17:44:58,05/12/2018 19:13:51,5333,05/12/2018 18:21:09,05/12/2018 18:47:48,,05/12/2018 18:53:13,05/12/2018 18:56:53,220,-,-,,,
England  UK,0073,Poole,05/12/2018,05/12/2018 18:57:13,05/12/2018 21:20:53,8620,05/12/2018 19:20:42,05/12/2018 19:56:46,,05/12/2018 20:04:51,05/12/2018 20:09:31,280,-,-,,,
England  UK,0074,Reading,05/12/2018,05/12/2018 18:57:29,05/12/2018 21:18:30,8461,05/12/2018 19:20:57,05/12/2018 20:04:05,,05/12/2018 20:15:01,05/12/2018 20:19:49,288,-,-,,,
England  UK,0075,Sutton Coldfield,05/12/2018,05/12/2018 18:29:30,-,-,05/12/2018 19:10:44,-,,05/12/2018 19:43:44,05/12/2018 19:48:32,288,-,-,,,
England  UK,0076,Taunton,05/12/2018,05/12/2018 18:20:20,05/12/2018 20:16:01,6941,05/12/2018 18:45:36,05/12/2018 19:14:38,,05/12/2018 19:23:23,05/12/2018 19:28:22,299,-,-,,,
England  UK,0077,West Bromwich,05/12/2018,05/12/2018 20:20:45,05/12/2018 22:26:51,7566,05/12/2018 20:59:06,05/12/2018 21:26:47,,05/12/2018 21:33:23,05/12/2018 21:38:26,303,-,-,,,
England  UK,0079,Boscombe,05/12/2018,05/12/2018 18:41:43,05/12/2018 19:53:35,4312,05/12/2018 19:04:54,05/12/2018 19:29:08,,05/12/2018 19:33:43,05/12/2018 19:37:22,219,-,-,,,
England  UK,0080,Bridgwater,05/12/2018,05/12/2018 18:20:24,05/12/2018 20:24:30,7446,05/12/2018 19:01:13,05/12/2018 19:29:41,,05/12/2018 19:36:16,05/12/2018 19:40:41,265,-,-,,,
Wales  UK,0082,Carmarthen,05/12/2018,05/12/2018 17:50:36,05/12/2018 19:11:41,4865,05/12/2018 18:35:06,05/12/2018 18:49:20,,05/12/2018 18:53:06,05/12/2018 18:57:14,248,05/12/2018 18:57:33,05/12/2018 18:57:49,16,,
England  UK,0083,Penzance,05/12/2018,05/12/2018 18:15:20,05/12/2018 21:37:13,12113,05/12/2018 18:36:37,05/12/2018 19:45:37,,05/12/2018 19:59:43,05/12/2018 20:05:37,354,-,-,,,
England  UK,0084,Dudley,05/12/2018,05/12/2018 18:49:02,05/12/2018 20:27:15,5893,05/12/2018 19:20:19,05/12/2018 19:46:13,,05/12/2018 19:50:19,05/12/2018 19:54:43,264,-,-,,,
England  UK,0085,Ealing Broadway,05/12/2018,05/12/2018 18:26:17,05/12/2018 19:54:34,5297,05/12/2018 19:02:26,05/12/2018 19:19:48,,05/12/2018 19:23:23,05/12/2018 19:27:02,219,-,-,,,
England  UK,0086,Frome,05/12/2018,05/12/2018 18:02:00,05/12/2018 19:06:13,3853,05/12/2018 18:34:14,05/12/2018 18:48:54,,05/12/2018 18:52:20,05/12/2018 18:56:38,258,-,-,,,
England  UK,0087,Gloucester,05/12/2018,05/12/2018 18:09:13,05/12/2018 20:44:32,9319,05/12/2018 18:55:23,05/12/2018 19:38:21,,05/12/2018 19:47:46,05/12/2018 19:51:35,229,-,-,,,
Channel Islands,0088,Guernsey,05/12/2018,05/12/2018 19:47:13,05/12/2018 20:39:02,3109,05/12/2018 20:08:11,05/12/2018 20:25:14,,05/12/2018 20:28:49,05/12/2018 20:32:29,220,-,-,,,
England  UK,0091,Weymouth,05/12/2018,05/12/2018 17:56:23,-,-,05/12/2018 18:18:17,05/12/2018 18:43:05,,06/12/2018 08:01:33,-,-,-,-,,,
England  UK,0093,Bristol City Centre,05/12/2018,05/12/2018 18:46:45,05/12/2018 21:18:38,9113,05/12/2018 19:14:14,05/12/2018 20:07:42,,05/12/2018 20:15:47,05/12/2018 20:20:36,289,-,-,,,
