Date,EOD Duration(s)
31/10/2017,10907
1/11/2017,0
2/11/2017,10898
3/11/2017,10287
4/11/2017,10240
5/11/2017,10382
6/11/2017,10946
7/11/2017,11023
8/11/2017,10589
9/11/2017,10553
10/11/2017,10593
11/11/2017,10594
12/11/2017,10510
13/11/2017,10562
14/11/2017,10745
15/11/2017,9638
16/11/2017,10613
17/11/2017,10568
18/11/2017,10660
19/11/2017,10640
20/11/2017,10859
21/11/2017,10616
22/11/2017,10657
23/11/2017,10730
24/11/2017,10682
25/11/2017,10825
26/11/2017,10632
27/11/2017,10550
28/11/2017,10634
29/11/2017,10774
30/11/2017,10707
1/12/2017,10662
2/12/2017,10639
3/12/2017,10781
4/12/2017,10736
5/12/2017,10648
6/12/2017,11145
7/12/2017,10597
8/12/2017,11327
9/12/2017,10758
10/12/2017,10712
11/12/2017,10723
12/12/2017,10587
13/12/2017,10570
14/12/2017,10527
15/12/2017,10668
16/12/2017,10610
17/12/2017,10563
18/12/2017,10653
19/12/2017,10650
20/12/2017,10584
21/12/2017,10623
22/12/2017,12909
23/12/2017,10509
24/12/2017,10599
25/12/2017,10605
26/12/2017,10512
27/12/2017,10573
28/12/2017,10559
29/12/2017,10629
30/12/2017,10734
31/12/2017,10490
1/1/2018,10882
2/1/2018,10733
3/1/2018,10511
4/1/2018,10547
5/1/2018,10590
6/1/2018,10602
7/1/2018,10899
8/1/2018,10628
9/1/2018,10747
10/1/2018,10535
11/1/2018,10531
12/1/2018,10492
13/01/2018,11350
14/01/2018,10844
15/01/2018,10581
16/01/2018,10691
17/01/2018,10611
18/01/2018,10724
19/01/2018,10505
20/01/2018,11182
21/01/2018,10762
22/01/2018,10872
23/01/2018,10836
24/01/2018,10676
25/01/2018,10651
26/01/2018,11089
27/01/2018,10764
28/01/2018,10743
29/01/2018,10681
30/01/2018,10841
31/01/2018,10826
1/2/2018,10678
2/2/2018,10749
3/2/2018,10821
4/2/2018,10596
5/2/2018,10679
6/2/2018,10709
7/2/2018,11362
8/2/2018,10741
9/2/2018,10892
10/2/2018,10772
11/2/2018,11383
12/2/2018,10714
13/02/2018,10879
